국가코드,국가,기준월,수출액_USD,전년동월_수출액_USD,YoY_%,MoM_%,수출액_십억달러,전체수출대비_비중_%
HT,아이티,2026-07-01,1028438,3071619.0,-66.51804797404887,-26.52980455106897,0.001028438,0.001039255624074998
SX,세인트마틴(생마르탱),2026-07-01,1009354,369591.0,173.10026488740257,669.5593168648978,0.001009354,0.001019970889040074
SO,소말리아,2026-07-01,944446,656597.0,43.839524091642204,-62.09344450014469,0.000944446,0.0009543801543069546
MR,모리타니,2026-07-01,919147,929481.0,-1.111803253643695,0.21620996899136546,0.000919147,0.0009288150468007428
LI,리히텐슈타인,2026-07-01,916866,953590.0,-3.851130989209195,34.875879873783624,0.000916866,0.0009265100541045228
NA,나미비아,2026-07-01,905107,266594.0,239.50764083212675,31.043314468222505,0.000905107,0.0009146273670747768
VU,바누아투,2026-07-01,879604,1098529.0,-19.928923132661946,-66.22235466289517,0.000879604,0.0008888561137947691
SR,수리남,2026-07-01,867902,867903.0,-0.00011522024926380325,120.87898384194679,0.000867902,0.000877031026319466
MK,마세도니아,2026-07-01,867893,1436389.0,-39.57813656328474,-34.747536566184536,0.000867893,0.0008770219316529751
PS,팔레스타인 해방기구,2026-07-01,824304,505484.0,63.07222384882607,-83.2343187335189,0.000824304,0.0008329744408000456
NE,니제르,2026-07-01,823379,1265841.0,-34.953995012011774,428.36250930465366,0.000823379,0.0008320397111884701
RW,르완다,2026-07-01,750313,2195701.0,-65.8280886149799,-70.70541985242471,0.000750313,0.0007582051665405052
SL,시에라 리온,2026-07-01,749547,748189.0,0.1815049405965663,68.71505487678608,0.000749547,0.0007574311093702709
BT,부탄,2026-07-01,703900,528402.0,33.21297042781821,40.95450167307126,0.0007039,0.0007113039714463985
GM,감비아,2026-07-01,674100,310958.0,116.7816875590916,25.782525539954282,0.0006741,0.0006811905201761858
FM,마이크로네시아,2026-07-01,635024,607243.0,4.574939521740062,-11.246650910630851,0.000635024,0.0006417034993092453
CU,쿠바,2026-07-01,530505,1294815.0,-59.02850986434356,120.74298767928697,0.000530505,0.00053608511631222
GQ,적도 기니,2026-07-01,496483,872377.0,-43.0884812414816,-32.10321758347556,0.000496483,0.0005017052559392276
BA,보스니아-헤르체고비나,2026-07-01,495113,729091.0,-32.09174163444618,-53.02074111606731,0.000495113,0.000500320845595597
KI,키리바티,2026-07-01,428891,333092.0,28.760522618375695,15.810691854468084,0.000428891,0.00043340228955479084
ML,말리,2026-07-01,416950,1268872.0,-67.14010554256063,-49.91910424921897,0.00041695,0.0004213356881582268
CV,카보 베르데,2026-07-01,384416,193487.0,98.67794735563629,82.67509991113731,0.000384416,0.000388459479311747
